Symbol,exchange_name,pair_name,Currency,Keywords,Coinmarketcap,marketcap,Marketcap_Tier,Tweets_Tier,Blacklisted,Shortable
SAN,HitBTC,SAN/ETH,Santiment Network Token,"Santiment Network Token, $SAN",https://coinmarketcap.com/currencies/santiment/,33204098,7,7,1,1
SOLVE,KuCoin,SOLVE/BTC,SOLVE Coin,"SOLVE Coin, $SOLVE",https://coinmarketcap.com/currencies/solve/,37324520,7,8,0,0
DOGE,Binance,DOGE/USDT,Dogecoin,"Dogecoin, $DOGE",https://coinmarketcap.com/currencies/dogecoin/,331044566,5,3,1,0
STORJ,Binance,STORJ/BTC,Storj,"Storj, $STORJ",https://coinmarketcap.com/currencies/storj/,20409857,7,6,0,0
HC,Binance,HC/BTC,HyperCash,"HyperCash, $HC",https://coinmarketcap.com/currencies/hypercash/,122507304,5,7,0,0
IOST,Binance,IOST/USDT,IOST Coin,"IOST Coin, $IOST, #IOST",https://coinmarketcap.com/currencies/iostoken/,105772016,5,7,0,0
VSYS,KuCoin,VSYS/BTC,V Systems,"V Systems, $VSYS",https://coinmarketcap.com/currencies/v-systems/,351567409,5,7,0,0
NRG,KuCoin,NRG/BTC,Energi Coin,"Energi Coin, $NRG, #NRG",https://coinmarketcap.com/currencies/energi/,134459352,5,7,0,0
FTM,Binance,FTM/BTC,Fantom Coin,"Fantom Coin, $FTM",https://coinmarketcap.com/currencies/fantom/,27179846,7,5,0,0
R,HitBTC,R/BTC,Revain Coin,Revain,https://coinmarketcap.com/currencies/revain/,38977108,7,8,0,0
BAT,Binance,BAT/BTC,Basic Attention Token,"Basic Attention Token, $BAT",https://coinmarketcap.com/currencies/basic-attention-token/,227798222,5,5,0,0
WAVES,Binance,WAVES/BTC,Waves Coin,"Waves Coin, $WAVES",https://coinmarketcap.com/currencies/waves/,123267286,5,6,0,0
MAID,HitBTC,MAID/BTC,MaidSafeCoin,"MaidSafeCoin, $MAID",https://coinmarketcap.com/currencies/maidsafecoin/,75238966,6,7,0,0
LAMB,Bittrex,LAMB/BTC,Lambda Coin,"Lambda Coin, $LAMB",https://coinmarketcap.com/currencies/lambda/,123015322,5,7,0,0
POLY,Binance,POLY/BTC,Polymath,"Polymath, $POLY",https://coinmarketcap.com/currencies/polymath-network/,16321902,7,5,0,0
XMR,Binance,XMR/BTC,Monero,"Monero, XMR",https://coinmarketcap.com/currencies/monero/,1451170205,3,3,0,1
STEEM,Binance,STEEM/BTC,Steem,"Steem, $STEEM",https://coinmarketcap.com/currencies/steem/,58304407,6,3,0,0
PAX,Binance,PAX/USDT,Paxos Standard Token,"Paxos Standard Token, $PAX, #PAX",https://coinmarketcap.com/currencies/paxos-standard-token/,190079755,5,5,0,0
DGD,Binance,DGD/BTC,DigixDAO,"DigixDAO, $DGD",https://coinmarketcap.com/currencies/digixdao/,39131927,7,7,0,0
STRAT,Binance,STRAT/BTC,Stratis,"Stratis, $STRAT",https://coinmarketcap.com/currencies/stratis/,37645767,7,5,0,0
MANA,Binance,MANA/BTC,Decentraland,"Decentraland, $MANA",https://coinmarketcap.com/currencies/decentraland/,36180517,7,5,0,0
KMD,Binance,KMD/BTC,Komodo Coin,"Komodo Coin, $KMD, #KMD",https://coinmarketcap.com/currencies/komodo/,90249732,6,6,0,0
NANO,Binance,NANO/BTC,Nano,"Nano Coin, $NANO",https://coinmarketcap.com/currencies/nano/,137588982,5,5,0,0
LINK,Binance,LINK/BTC,Chainlink,"Chainlink, $LINK",https://coinmarketcap.com/currencies/chainlink/,819377228,4,4,0,1
OMG,Binance,OMG/BTC,OmiseGO,"OmiseGO, $OMG",https://coinmarketcap.com/currencies/omisego/,167382457,5,6,0,1
