ID,Tweet,Time,User,Likes,Retweets,in_response_to_id,response_type,vader_emotion,pos_neg
1165508690612498432,RT @WietseWind: So. I coded a bug in http://sms.xrptext.com (programmers are human too). Thank goodness the bug only affected XRP enthusia… <retweeted_status> So. I coded a bug in http://sms.xrptext.com (programmers are human too). Thank goodness the bug only affected XRP enthusiast @FzFool who deserves lots of kindness for being honest about it and correcting my mistake ❤️😎. So. Bug fixed and a nice tip coming his way 👌 </retweeted_status>,2019-08-25 06:18:20,BadTolz_V,0,0,1165208851232296960,retweet,0.9517,1
1165508835882278912,RT @Ripple: How can academia address the blockchain skills gap? Ripple’s Head of Social Impact Ken Weber shares his thoughts. https://t.co/… <retweeted_status> How can academia address the blockchain skills gap? Ripple’s Head of Social Impact Ken Weber shares his thoughts. https://t.co/JbPhxp0cjP via @OpenAccessGov </retweeted_status>,2019-08-25 06:18:55,ileenlozanski3,0,0,1164288566299701249,retweet,0.5803,-1
1165508847328464897,"#SundayGold

Sale of #Ripple Tokens Blamed for Collpase in Value #xrpthestandard #xrp  https://btcmanager.com/ripple-xrp-tokens-collpase-value/",2019-08-25 06:18:57,grinch_crypto,0,0,0,tweet,-0.1779,1
