ID,Tweet,Time,User,Likes,Retweets,in_response_to_id,response_type,vader_emotion,pos_neg
1165508693347262464,@DrPhil Come on dad. Pull it together. At least trade some bitcoin if ya going to sit around the house smoking weed all day,2019-08-25 06:18:21,BigMikD1,0,0,1165413479618174977,reply,0.0,-1
1165508840902803456,"RT @Inplosions: As soon as 8 people register, you will have the right to receive GCU. You will receive an email and the payout box will unl… <retweeted_status> As soon as 8 people register, you will have the right to receive GCU. You will receive an email and the payout box will unlock. You can then paste your Ethereum address.

 Press the *Send me GCU* button. And we will automatically send GCUs to you within 2 days.  

Good luck </retweeted_status>",2019-08-25 06:18:56,maralibdu,0,0,1160987091372793857,retweet,0.7096,2
1165508850180476929,RT @LUKACACIC: #ethereum is evolution of #bitcoin. https://t.co/P7sD9OnHBx <retweeted_status> #ethereum is evolution of #bitcoin. https://t.co/P7sD9OnHBx </retweeted_status>,2019-08-25 06:18:58,btcplanet,0,0,1165404860621217792,retweet,0.0,0
